avg. SoC;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
60;1068.6;1071.4;1052.8;1053.2;1060.2
62;1128.2;1135.2;1114.8;1115;1119.4
64;1160.4;1160.6;1145.6;1146.2;1150
66;1175.2;1175.8;1165;1164.4;1166.4
68;1263.8;1268.4;1253;1253.2;1255.6
70;1316.6;1319.4;1302;1303.2;1305.2
;;;;;
avg. Rerouts;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
60;0;0;30;13.4;5.6
62;0;0;26;11.4;4.6
64;0;0;25;11.6;4.4
66;0;0;32;16.6;5
68;0;0;27.4;12.4;6.4
70;0;0;24.6;12;5.8
;;;;;
avg. RS used;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
60;45.6;0;0.8;0.4;1
62;46.2;0;0.6;0.2;0
64;48.2;0;0.4;0.8;1
66;50.2;0;0.6;0.2;0
68;50;0;0.4;0;0
70;48.2;0;0.4;1;0.6
;;;;;
avg. Gain over RS;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
60;1;0.997232756;1.015031217;1.014626145;1.007823441
62;1;0.993890877;1.012194658;1.011973645;1.008153468
64;1;0.999783826;1.012635277;1.012115159;1.00889499
66;1;0.999544728;1.008859067;1.009362549;1.007607702
68;1;0.996368163;1.008697173;1.008544821;1.006602655
70;1;0.997901326;1.011017748;1.010124126;1.008521497
