map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType10;60;100;0.in;ID;860;990;14;success;1;43135;30523;1.001010101
../instances/IntersectionType10;60;100;1.in;ID;929;1066;16;success;0;15661;1365;1.026266417
../instances/IntersectionType10;60;100;2.in;ID;905;1044;12;success;1;45312;30314;1.006704981
../instances/IntersectionType10;60;100;3.in;ID;1028;1166;14;success;0;16201;1843;1.011149228
../instances/IntersectionType10;60;100;4.in;ID;872;1000;11;success;0;13298;2019;1.028
../instances/IntersectionType10;62;100;0.in;ID;905;1041;12;success;0;13150;1103;1.006724304
../instances/IntersectionType10;62;100;1.in;ID;987;1129;11;success;0;15670;1372;1.007085917
../instances/IntersectionType10;62;100;2.in;ID;930;1062;5;success;0;11207;1774;1.020715631
../instances/IntersectionType10;62;100;3.in;ID;1071;1216;21;success;0;18080;1519;1.004934211
../instances/IntersectionType10;62;100;4.in;ID;992;1127;8;success;1;41663;30452;1.020408163
../instances/IntersectionType10;64;100;0.in;ID;921;1058;3;success;1;42003;30510;1.003780718
../instances/IntersectionType10;64;100;1.in;ID;1026;1173;15;success;1;47069;30591;1.011935209
../instances/IntersectionType10;64;100;2.in;ID;988;1131;12;success;0;13430;946;1.009725906
../instances/IntersectionType10;64;100;3.in;ID;1062;1204;15;success;0;15860;1642;1.027408638
../instances/IntersectionType10;64;100;4.in;ID;1022;1165;13;success;2;74604;32862;1.007725322
../instances/IntersectionType10;66;100;0.in;ID;963;1107;14;success;0;13904;1624;1.007226739
../instances/IntersectionType10;66;100;1.in;ID;1040;1194;27;success;0;20651;2298;1.005025126
../instances/IntersectionType10;66;100;2.in;ID;975;1126;6;success;1;47127;30467;1.019538188
../instances/IntersectionType10;66;100;3.in;ID;1058;1204;20;success;0;16582;1715;1.008305648
../instances/IntersectionType10;66;100;4.in;ID;1047;1191;16;success;0;14446;1246;1.006717045
../instances/IntersectionType10;68;100;0.in;ID;1166;1325;17;success;0;19536;2192;1.016603774
../instances/IntersectionType10;68;100;1.in;ID;1056;1205;16;success;0;16398;1317;1.010788382
../instances/IntersectionType10;68;100;2.in;ID;1212;1362;10;success;0;16266;2001;1
../instances/IntersectionType10;68;100;3.in;ID;968;1112;9;success;0;11799;1152;1.008992806
../instances/IntersectionType10;68;100;4.in;ID;1115;1262;10;success;0;14922;1399;1.006339144
../instances/IntersectionType10;70;100;0.in;ID;1198;1362;16;success;0;23340;2371;1.009544787
../instances/IntersectionType10;70;100;1.in;ID;1101;1263;12;success;2;80286;30895;1.016627078
../instances/IntersectionType10;70;100;2.in;ID;1226;1386;11;success;0;15841;1147;1.01010101
../instances/IntersectionType10;70;100;3.in;ID;1016;1158;7;success;0;10638;1677;1.001727116
../instances/IntersectionType10;70;100;4.in;ID;1180;1347;14;success;3;115360;38164;1.012620638
../instances/IntersectionType10;60;100;0.in;RA;860;990;19;success;1;35890;30093;1.001010101
../instances/IntersectionType10;60;100;1.in;RA;929;1059;22;success;2;66096;30105;1.033050047
../instances/IntersectionType10;60;100;2.in;RA;905;1042;26;success;0;5911;203;1.008637236
