avg. SoC;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
10;137.55;136.75;124.7;130;130.5
12;166.8;163.9;147.05;153.15;155.25
15;231.15;226.2;204.8;216;225.35
17;316.9;301.5;266.3;284.2;281.8
20;400;389.4;347.85;386.95;384.6
22;476.7;453.55;421.9;441.8;455.1
25;616.85;595.7;547.1;577.45;582.85
;;;;;
avg. Rerouts;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
10;0;0;5.15;3.3;2.65
12;0;0;3.8;2.8;2.05
15;0;0;6.45;3.45;1.5
17;0;0;10.05;3.85;3.8
20;0;0;10.15;2.65;2.85
22;0;0;6.8;4.25;2.95
25;0;0;6.4;2.55;1.9
;;;;;
avg. RS used;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
10;8.2;0;0.55;1.7;1.7
12;9.2;0;1.05;2.2;2.55
15;12;0.05;2.4;4.25;5.9
17;12.7;0.35;3.4;7.1;6.55
20;14.45;1.2;5.65;9.8;9.55
22;16.35;1.7;9.4;10.55;10.85
25;16.75;3.5;10;11.65;11.65
;;;;;
avg. Gain over RS;;;;;
agents / algorithm;RS;RSG;RA;ID;subID
10;1;1.005864417;1.097691163;1.060603711;1.057780297
12;1;1.018244379;1.138755697;1.090445144;1.07929554
15;1;1.033338936;1.167522577;1.106305435;1.044862078
17;1;1.05029943;1.223337602;1.129585033;1.139225339
20;1;1.040028375;1.186106592;1.036744317;1.041858926
22;1;1.058787166;1.151674306;1.102173339;1.059125319
25;1;1.045950086;1.150073906;1.083053743;1.070912517
