map type;agents;timesteps;id;algorithm;SoC LB;SoC;rerouted;ok;TO;total time;max. time;gain over RS
../instances/IntersectionType10;10;30;0.in;ID;54;90;1;success;2;63933;30266;1
../instances/IntersectionType10;10;30;1.in;ID;54;99;6;success;1;46163;30594;1.181818182
../instances/IntersectionType10;10;30;2.in;ID;51;89;6;success;0;8643;2688;1.123595506
../instances/IntersectionType10;10;30;3.in;ID;53;100;3;success;1;36429;30904;0.98
../instances/IntersectionType10;10;30;4.in;ID;55;99;3;success;1;47968;30576;1.131313131
../instances/IntersectionType10;12;30;0.in;ID;65;112;9;success;0;53180;18658;1.294642857
../instances/IntersectionType10;12;30;1.in;ID;65;117;3;success;1;53564;30586;0.931623932
../instances/IntersectionType10;12;30;2.in;ID;63;117;2;success;1;76072;30259;1.256410256
../instances/IntersectionType10;12;30;3.in;ID;64;144;1;success;5;159120;30800;1.180555556
../instances/IntersectionType10;12;30;4.in;ID;62;93;0;success;0;4331;2337;1
../instances/IntersectionType10;15;30;0.in;ID;82;138;5;success;1;57935;30945;1.420289855
../instances/IntersectionType10;15;30;1.in;ID;77;133;2;success;1;49953;30878;1.142857143
../instances/IntersectionType10;15;30;2.in;ID;81;166;1;success;5;170558;30771;1.186746988
../instances/IntersectionType10;15;30;3.in;ID;78;150;9;success;3;161623;30589;1.14
../instances/IntersectionType10;15;30;4.in;ID;82;243;2;success;8;251062;30818;1.004115226
../instances/IntersectionType10;17;30;0.in;ID;94;253;3;success;8;250983;30835;0.976284585
../instances/IntersectionType10;17;30;1.in;ID;88;211;12;success;7;266835;30904;1.260663507
../instances/IntersectionType10;17;30;2.in;ID;91;213;3;success;11;335687;30988;1.333333333
../instances/IntersectionType10;17;30;3.in;ID;91;240;5;success;3;100305;30791;1.170833333
../instances/IntersectionType10;17;30;4.in;ID;91;212;3;success;9;275706;30849;1.33490566
../instances/IntersectionType10;20;30;0.in;ID;108;241;5;success;8;265841;30977;1.132780083
../instances/IntersectionType10;20;30;1.in;ID;105;380;2;success;7;215877;30891;0.826315789
../instances/IntersectionType10;20;30;2.in;ID;107;315;3;success;12;371851;30982;1.050793651
../instances/IntersectionType10;20;30;3.in;ID;108;394;5;success;11;357860;30798;1.088832487
../instances/IntersectionType10;20;30;4.in;ID;111;332;0;success;12;374376;30726;1
../instances/IntersectionType10;22;30;0.in;ID;119;339;9;success;10;335059;30958;1.194690265
../instances/IntersectionType10;22;30;1.in;ID;114;396;1;success;13;397654;30944;1
../instances/IntersectionType10;22;30;2.in;ID;116;326;5;success;7;226598;30863;1.095092025
../instances/IntersectionType10;22;30;3.in;ID;118;363;4;success;9;286108;30774;1.140495868
../instances/IntersectionType10;22;30;4.in;ID;127;402;8;success;13;425723;30827;1.271144279
../instances/IntersectionType10;25;30;0.in;ID;134;411;6;success;14;433994;31014;1.111922141
../instances/IntersectionType10;25;30;1.in;ID;132;585;1;success;14;424644;30703;1.003418803
../instances/IntersectionType10;25;30;2.in;ID;133;497;3;success;8;258659;30967;1.225352113
../instances/IntersectionType10;25;30;3.in;ID;138;433;1;success;14;445205;30732;1.258660508
../instances/IntersectionType10;25;30;4.in;ID;137;437;6;success;9;338304;30763;1.155606407
../instances/IntersectionType11;10;30;0.in;ID;54;89;2;success;0;30688;16248;1.011235955
../instances/IntersectionType11;10;30;1.in;ID;54;101;4;success;0;38250;17737;1.158415842
../instances/IntersectionType11;10;30;2.in;ID;51;91;3;success;0;10993;3125;1.098901099
../instances/IntersectionType11;10;30;3.in;ID;53;100;3;success;1;36114;30393;0.98
../instances/IntersectionType11;10;30;4.in;ID;55;108;12;success;0;33606;10799;1.037037037
../instances/IntersectionType11;12;30;0.in;ID;65;122;9;success;0;72915;18080;1.18852459
../instances/IntersectionType11;12;30;1.in;ID;65;117;4;success;0;29682;8499;0.931623932
../instances/IntersectionType11;12;30;2.in;ID;63;117;2;success;0;80899;28776;1.170940171
../instances/IntersectionType11;12;30;3.in;ID;64;137;3;success;4;135922;30594;1.197080292
../instances/IntersectionType11;12;30;4.in;ID;62;93;0;success;0;4920;2907;1
../instances/IntersectionType11;15;30;0.in;ID;82;138;9;success;1;60623;30922;1.420289855
../instances/IntersectionType11;15;30;1.in;ID;77;134;5;success;0;33737;9594;1.134328358
../instances/IntersectionType11;15;30;2.in;ID;81;166;0;success;5;177064;30374;1.078313253
../instances/IntersectionType11;15;30;3.in;ID;78;150;10;success;1;130425;30277;1.14
../instances/IntersectionType11;15;30;4.in;ID;82;209;2;success;8;250069;30362;1.110047847
../instances/IntersectionType11;17;30;0.in;ID;94;205;14;success;3;153653;30345;1.102439024
../instances/IntersectionType11;17;30;1.in;ID;88;243;5;success;9;333276;30922;1.094650206
../instances/IntersectionType11;17;30;2.in;ID;91;213;3;success;11;335518;30759;1.276995305
../instances/IntersectionType11;17;30;3.in;ID;91;252;3;success;3;107188;30838;1.115079365
../instances/IntersectionType11;17;30;4.in;ID;91;212;3;success;8;251439;30972;1.254716981
../instances/IntersectionType11;20;30;0.in;ID;108;242;7;success;7;259459;30768;1.128099174
../instances/IntersectionType11;20;30;1.in;ID;105;380;2;success;7;216729;30845;0.826315789
../instances/IntersectionType11;20;30;2.in;ID;107;301;4;success;12;371153;30964;1.099667774
../instances/IntersectionType11;20;30;3.in;ID;108;385;6;success;11;358594;30982;1.036363636
../instances/IntersectionType11;20;30;4.in;ID;111;307;0;success;12;374714;30853;1.081433225
../instances/IntersectionType11;22;30;0.in;ID;119;353;10;success;10;337498;30934;1.147308782
../instances/IntersectionType11;22;30;1.in;ID;114;357;5;success;12;382808;30975;1.047619048
../instances/IntersectionType11;22;30;2.in;ID;116;259;12;success;3;177814;30411;1.366795367
../instances/IntersectionType11;22;30;3.in;ID;118;329;2;success;9;285960;30754;1.161094225
../instances/IntersectionType11;22;30;4.in;ID;127;421;8;success;13;422391;30890;1.213776722
../instances/IntersectionType11;25;30;0.in;ID;134;411;6;success;14;449786;30796;1.111922141
../instances/IntersectionType11;25;30;1.in;ID;132;589;1;success;14;424953;30881;1.003395586
../instances/IntersectionType11;25;30;2.in;ID;133;499;5;success;8;257538;30996;1.196392786
../instances/IntersectionType11;25;30;3.in;ID;138;433;1;success;14;449107;30806;1.154734411
../instances/IntersectionType11;25;30;4.in;ID;137;413;3;success;10;350891;30982;1.16464891
../instances/IntersectionType12;10;30;0.in;ID;104;178;0;success;4;139594;30842;1
../instances/IntersectionType12;10;30;1.in;ID;104;206;3;success;4;137232;30632;1.087378641
../instances/IntersectionType12;10;30;2.in;ID;101;171;8;success;3;159434;30298;1.093567251
../instances/IntersectionType12;10;30;3.in;ID;103;186;2;success;3;141829;31031;1.005376344
../instances/IntersectionType12;10;30;4.in;ID;105;218;2;success;6;202107;30834;1.041284404
../instances/IntersectionType12;12;30;0.in;ID;125;217;3;success;6;211285;30967;1.248847926
../instances/IntersectionType12;12;30;1.in;ID;125;192;6;success;4;163674;30712;1.171875
../instances/IntersectionType12;12;30;2.in;ID;123;236;1;success;6;186866;30907;1
../instances/IntersectionType12;12;30;3.in;ID;124;278;2;success;6;187929;30996;1.04676259
../instances/IntersectionType12;12;30;4.in;ID;122;178;4;success;2;122970;30724;1.02247191
../instances/IntersectionType12;15;30;0.in;ID;157;315;6;success;5;218093;30698;0.958730159
../instances/IntersectionType12;15;30;1.in;ID;152;270;1;success;5;215598;30594;1
../instances/IntersectionType12;15;30;2.in;ID;156;326;0;success;7;226834;30570;1
../instances/IntersectionType12;15;30;3.in;ID;153;334;0;success;11;333184;30697;1
../instances/IntersectionType12;15;30;4.in;ID;157;439;2;success;9;289055;30887;0.89977221
../instances/IntersectionType12;17;30;0.in;ID;179;488;2;success;9;293366;30614;1.038934426
../instances/IntersectionType12;17;30;1.in;ID;173;390;1;success;11;354252;31010;1.264102564
../instances/IntersectionType12;17;30;2.in;ID;176;403;1;success;11;351232;30983;1.166253102
../instances/IntersectionType12;17;30;3.in;ID;176;448;5;success;4;154553;30763;1.058035714
../instances/IntersectionType12;17;30;4.in;ID;176;460;3;success;10;320979;30914;0.943478261
../instances/IntersectionType12;20;30;0.in;ID;208;507;6;success;11;381263;31006;1.055226824
../instances/IntersectionType12;20;30;1.in;ID;205;620;1;success;8;250791;30910;0.974193548
../instances/IntersectionType12;20;30;2.in;ID;207;543;2;success;12;384262;30903;1.178637201
../instances/IntersectionType12;20;30;3.in;ID;208;619;1;success;13;410031;30967;1.113085622
../instances/IntersectionType12;20;30;4.in;ID;211;657;0;success;13;397904;30677;1
../instances/IntersectionType12;22;30;0.in;ID;229;814;4;success;14;443314;31025;1.001228501
../instances/IntersectionType12;22;30;1.in;ID;224;631;2;success;13;413138;30965;1.001584786
../instances/IntersectionType12;22;30;2.in;ID;226;563;1;success;13;395508;30719;1
../instances/IntersectionType12;22;30;3.in;ID;228;713;0;success;11;337033;30994;1
../instances/IntersectionType12;22;30;4.in;ID;237;893;2;success;15;480255;31009;1.006718925
../instances/IntersectionType12;25;30;0.in;ID;259;958;2;success;16;505431;31020;0.992693111
../instances/IntersectionType12;25;30;1.in;ID;257;1072;2;success;14;430011;30796;0.983208955
../instances/IntersectionType12;25;30;2.in;ID;258;1004;2;success;11;338368;30923;1.108565737
../instances/IntersectionType12;25;30;3.in;ID;263;941;0;success;15;461627;30961;1.002125399
../instances/IntersectionType12;25;30;4.in;ID;262;824;0;success;13;396536;31030;1
../instances/IntersectionType13;10;30;0.in;ID;100;131;1;success;2;69758;30954;1
../instances/IntersectionType13;10;30;1.in;ID;102;132;0;success;0;16887;12095;1.090909091
../instances/IntersectionType13;10;30;2.in;ID;101;129;2;success;0;23987;10152;1.031007752
../instances/IntersectionType13;10;30;3.in;ID;103;146;0;success;3;94216;30817;1.116438356
../instances/IntersectionType13;10;30;4.in;ID;99;137;5;success;3;133916;30852;1.04379562
